name;count
Inger;1 132
Reeta;1 128
Anna-Mari;1 125
Mimosa;1 124
Helinä;1 112
Lisa;1 111
Tina;1 101
Tuulia;1 100
Marianna;1 099
Aura;1 093
Marja-Riitta;1 090
Malin;1 083
Taika;1 082
Siv;1 079
Barbro;1 074
Carola;1 074
Stina;1 060
Erin;1 057
Katarina;1 057
Sointu;1 057
Inna;1 050
Liina;1 040
Raila;1 039
Vivian;1 034
Berit;1 032
Diana;1 028
Juuli;1 025
Mea;1 024
Tinja;1 019
Lempi;1 016
Lina;1 007
Edith;1 006
Kira;1 003
Alva;999
Saima;999
Pilvi;994
Marie;993
Else;991
Karita;989
Kyllikki;989
Victoria;989
Anna-Leena;983
Solveig;976
Teresa;976
Annina;968
Tatiana;962
Anne-Maria;960
Gunilla;959
Valma;958
Sanna-Mari;953
Säde;948
Pirkko-Liisa;947
Carina;946
Marjo-Riitta;944
Tessa;943
Adele;938
Laina;936
Fiona;925
Hely;924
Janni;924
Leea;922
Nanna;920
Sarah;918
Luna;915
Astrid;914
Susan;914
Virva;893
Aida;884
Monika;882
Henriikka;875
Lyydia;874
Minka;869
Eliisa;866
Riia;865
Milka;864
Livia;858
Hanna-Kaisa;854
Maj-Britt;854
Rebecca;853
Charlotta;852
Aleksandra;846
Erica;844
Gun;844
Josefiina;840
Janica;838
Meea;837
Ester;828
Greta;827
Ebba;824
Malla;820
Lilia;808
Maija-Leena;804
Nadja;804
Ingrid;796
Jasmine;794
Mirella;794
Lila;793
Amelia;792
Marjukka;792
Verna;792
Ekaterina;790
Ansa;788
Åsa;788
Annu;787
Anne-Marie;786
Liisi;785
Isabel;775
Ava;773
Harriet;772
Rebekka;771
Aulikki;767
Viena;766
Sohvi;764
Inari;763
Nita;759
Iita;755
Jatta;755
Maaret;755
Aamu;754
Pipsa;751
Tellervo;748
Amalia;745
Ruut;745
Mimmi;741
Nelly;738
Selina;737
Anastasia;730
Lyyli;727
Mirjami;723
Margareta;717
Sofie;716
Unna;715
Iines;713
Bea;705
Annamari;701
Isa;700
Benita;698
Piritta;696
Gunnel;693
Alice;680
Pirita;676
Minni;671
Ruth;664
Tove;661
Rea;658
Onerva;648
Bertta;644
Gunvor;642
Elviira;639
Ann-Mari;637
Maya;634
Matleena;632
Mirkka;632
Sylvia;629
Milena;625
Annette;622
Ina;620
Jennifer;611
Selja;611
Yvonne;609
Mailis;607
Ann;605
Sarita;602
Orvokki;592
Suoma;591
Britta;589
Lydia;589
Ines;585
Sabina;584
Regina;582
Doris;581
Emily;572
Pirjo-Riitta;572
Martina;566
Lily;565
Hanna-Maria;563
Elisabeth;562
Marju;562
Ilse;560
Elna;558
Alissa;557
Galina;555
Sinna;555
Noomi;553
Tara;553
Jasmiina;552
Siri;552
Patricia;550
Elea;549
Valentina;549
Carolina;548
Lara;541
Eve;538
Evelina;538
Helen;537
Christa;532
Lili;532
Christel;528
Ulrika;528
Tatjana;527
Henna-Riikka;525
Kielo;521
Ria;521
Maj-Lis;520
Veronica;520
Raakel;519
Saini;519
Ilmi;516
Linn;516
Siina;513
Felicia;512
Ida-Maria;508
Natalie;508
Anne-Maarit;506
Ritva-Liisa;505
Sofi;500
